id,gender,age,race,juv_fel_count,decile_score,juv_misd_count,juv_other_count,priors_count,days_b_screening_arrest,is_recid,is_violent_recid,decile_score.1,score_text,v_decile_score,v_score_text,priors_count.1,event,label
5,1,23,1,0,8,1,0,1,0,0,0,8,1,6,0,1,0,0
18,1,41,1,0,4,0,0,0,-1,0,0,4,-1,2,-1,0,0,0
22,1,25,1,0,10,0,0,3,-1,0,0,10,1,9,1,3,0,0
56,0,21,1,0,8,0,0,2,-1,0,0,8,1,8,1,2,0,0
57,1,51,1,0,1,0,0,2,-1,0,0,1,-1,1,-1,2,0,0
61,0,51,1,0,2,0,0,7,-1,0,0,2,-1,2,-1,7,0,0
70,1,29,1,0,4,0,0,0,0,0,0,4,-1,3,-1,0,0,0
79,1,31,1,0,5,0,1,15,-1,1,0,5,0,7,0,15,1,0
84,1,49,1,0,1,0,0,4,-1,0,0,1,-1,1,-1,4,0,0
87,1,35,1,0,3,0,0,5,-1,0,0,3,-1,2,-1,5,0,0
100,0,56,1,0,1,0,0,0,0,0,0,1,-1,1,-1,0,0,0
105,1,39,1,0,4,0,0,1,-1,0,0,4,-1,2,-1,1,0,0
111,1,40,1,0,2,0,0,2,-15,0,0,2,-1,1,-1,2,0,0
119,1,32,1,0,2,0,0,0,-1,0,0,2,-1,1,-1,0,0,0
120,1,41,1,0,2,0,0,1,-1,0,0,2,-1,2,-1,1,0,0
136,0,35,1,0,2,0,0,1,-1,0,0,2,-1,1,-1,1,0,0
143,1,71,1,0,7,0,0,12,0,0,0,7,0,3,-1,12,0,0
152,1,24,1,0,2,0,0,1,-137,0,0,2,-1,3,-1,1,0,0
153,1,30,1,0,2,0,0,1,-1,0,0,2,-1,2,-1,1,0,0
174,1,37,1,0,2,0,0,3,0,0,0,2,-1,1,-1,3,0,0
180,1,31,1,0,7,0,0,1,-1,0,0,7,0,8,1,1,0,0
187,1,56,1,0,9,0,0,8,67,0,0,9,1,3,-1,8,0,0
203,0,24,1,0,2,0,0,0,-1,0,0,2,-1,3,-1,0,0,0
215,1,31,1,0,2,0,0,1,-1,1,0,2,-1,3,-1,1,1,0
220,0,20,1,1,10,0,0,1,0,0,0,10,1,10,1,1,0,0
231,0,20,1,0,6,0,0,0,0,0,0,6,0,8,1,0,0,0
242,1,55,1,0,1,0,0,3,-51,0,0,1,-1,1,-1,3,0,0
245,1,30,1,0,7,0,0,1,0,0,0,7,0,8,1,1,0,0
248,1,22,1,0,2,0,0,1,-1,0,0,2,-1,4,-1,1,0,0
258,0,32,1,0,7,0,0,5,-1,0,0,7,0,3,-1,5,0,0
260,1,62,1,0,4,0,0,8,0,0,0,4,-1,1,-1,8,0,0
281,1,66,1,0,1,0,0,3,-10,1,1,1,-1,1,-1,3,1,0
294,1,34,1,0,2,0,0,2,0,1,0,2,-1,1,-1,2,1,0
297,0,23,1,0,4,0,0,1,-1,0,0,4,-1,4,-1,1,0,0
308,1,27,1,0,2,0,0,0,-1,0,0,2,-1,3,-1,0,0,0
310,0,28,1,0,8,0,0,0,0,0,0,8,1,6,0,0,0,0
315,1,38,1,0,1,0,0,2,-1,0,0,1,-1,1,-1,2,0,0
317,0,28,1,0,9,0,0,1,-1,0,0,9,1,7,0,1,0,0
320,1,38,1,0,9,0,0,15,-1,0,0,9,1,3,-1,15,0,0
321,1,28,1,0,5,0,0,2,-1,0,0,5,0,4,-1,2,0,0
322,1,45,1,0,6,0,0,3,104,0,0,6,0,4,-1,3,0,0
330,1,48,1,0,1,0,0,0,-1,0,0,1,-1,1,-1,0,0,0
332,0,30,1,0,7,0,0,2,-1,0,0,7,0,4,-1,2,0,0
333,0,41,1,0,6,0,0,5,0,0,0,6,0,3,-1,5,0,0
335,1,37,1,0,1,0,0,0,-1,1,1,1,-1,1,-1,0,1,0
337,1,54,1,0,9,0,0,11,-1,0,0,9,1,9,1,11,0,0
338,1,23,1,0,9,0,0,2,-1,0,0,9,1,5,0,2,0,0
344,1,41,1,0,1,0,0,0,0,0,0,1,-1,1,-1,0,0,0
348,1,52,1,0,4,0,0,0,-1,0,0,4,-1,3,-1,0,0,0
354,1,22,1,0,4,0,0,0,-1,0,0,4,-1,6,0,0,0,0
355,1,30,1,0,2,0,0,4,0,0,0,2,-1,2,-1,4,0,0
359,1,32,1,0,9,1,0,14,-1,0,0,9,1,8,1,14,0,0
360,1,26,1,0,8,1,0,4,649,0,0,8,1,6,0,4,0,0
364,1,25,1,0,3,0,0,0,0,0,0,3,-1,4,-1,0,0,0
384,1,29,1,0,3,0,0,1,-1,0,0,3,-1,3,-1,1,0,0
390,1,27,1,0,4,0,0,4,-1,0,0,4,-1,4,-1,4,0,0
393,0,37,1,0,1,0,0,2,0,0,0,1,-1,1,-1,2,0,0
396,1,20,1,0,8,0,0,0,-1,0,0,8,1,6,0,0,0,0
399,0,52,1,0,1,0,0,0,-1,0,0,1,-1,1,-1,0,0,0
402,0,48,1,0,2,0,0,0,-1,0,0,2,-1,3,-1,0,0,0
409,1,35,1,0,10,0,0,2,0,0,0,10,1,8,1,2,0,0
411,0,41,1,0,3,0,0,2,-1,0,0,3,-1,1,-1,2,0,0
415,1,44,1,0,7,0,0,24,53,0,0,7,0,3,-1,24,0,0
417,1,43,1,0,1,0,0,0,-1,0,0,1,-1,1,-1,0,0,0
435,1,34,1,0,4,0,0,5,-1,0,0,4,-1,4,-1,5,0,0
439,1,30,1,0,1,0,0,2,-83,0,0,1,-1,2,-1,2,0,0
446,0,21,1,0,6,0,0,0,0,0,0,6,0,7,0,0,0,0
450,1,21,1,0,5,0,0,1,-36,1,0,5,0,7,0,1,1,0
459,0,32,1,0,1,0,0,5,0,0,0,1,-1,1,-1,5,0,0
462,1,27,1,0,1,0,0,0,0,0,0,1,-1,2,-1,0,0,0
468,1,27,1,0,2,0,0,0,0,0,0,2,-1,3,-1,0,0,0
478,1,29,1,0,9,0,0,7,-1,0,0,9,1,6,0,7,0,0
493,1,45,1,0,1,0,0,1,0,0,0,1,-1,1,-1,1,0,0
495,0,36,1,0,7,0,0,0,-1,0,0,7,0,5,0,0,0,0
502,1,24,1,0,3,0,0,0,-1,0,0,3,-1,4,-1,0,0,0
505,1,29,1,0,1,0,0,0,-1,0,0,1,-1,2,-1,0,0,0
512,0,25,1,0,6,0,0,2,-86,0,0,6,0,5,0,2,0,0
517,1,23,1,0,6,0,1,1,0,0,0,6,0,5,0,1,0,0
518,1,47,1,0,3,0,0,3,0,0,0,3,-1,2,-1,3,0,0
537,1,49,1,0,5,0,0,3,0,0,0,5,0,4,-1,3,0,0
538,1,29,1,0,4,0,1,2,-1,1,0,4,-1,3,-1,2,1,0
541,0,26,1,0,10,0,0,0,0,0,0,10,1,10,1,0,0,0
548,1,21,1,0,3,1,0,1,-1,1,0,3,-1,6,0,1,1,0
553,1,57,1,0,8,0,0,18,0,0,0,8,1,7,0,18,0,0
569,0,24,1,0,4,0,0,0,-1,0,0,4,-1,4,-1,0,0,0
572,1,42,1,0,1,0,0,1,-12,0,0,1,-1,1,-1,1,0,0
573,1,28,1,0,3,0,0,1,-1,0,0,3,-1,3,-1,1,0,0
584,1,35,1,0,5,0,0,2,-1,0,0,5,0,5,0,2,0,0
586,1,53,1,0,1,0,0,2,-1,0,0,1,-1,1,-1,2,0,0
587,1,60,1,0,1,0,0,1,0,0,0,1,-1,1,-1,1,0,0
588,1,29,1,0,4,0,0,7,-1,1,0,4,-1,3,-1,7,0,0
598,1,28,1,0,9,0,0,5,0,1,0,9,1,6,0,5,1,0
603,1,29,1,1,5,0,0,2,-1,0,0,5,0,5,0,2,0,0
605,1,26,1,0,7,0,2,6,-34,0,0,7,0,7,0,6,0,0
611,1,56,1,0,3,0,0,5,-1,0,0,3,-1,3,-1,5,0,0
616,1,32,1,0,2,0,0,3,0,0,0,2,-1,2,-1,3,0,0
624,0,22,1,0,7,0,0,0,0,0,0,7,0,8,1,0,0,0
627,1,53,1,0,6,0,0,11,-1,0,0,6,0,3,-1,11,0,0
643,1,29,1,0,10,0,0,8,178,0,0,10,1,9,1,8,0,0
645,1,22,1,0,7,0,0,3,-1,0,0,7,0,6,0,3,0,0
651,1,26,1,0,4,0,0,3,0,0,0,4,-1,3,-1,3,0,0
656,1,29,1,0,6,0,0,2,-1,0,0,6,0,3,-1,2,0,0
