loan_amnt,int_rate,emp_length,annual_inc,dti,delinq_2yrs,revol_util,total_acc,bad_loan,longest_credit_length,label,ownership_MORTGAGE,ownership_NONE,ownership_OTHER,ownership_OWN,ownership_RENT,purpose_credit_card,purpose_debt_consolidation,purpose_educational,purpose_home_improvement,purpose_house,purpose_major_purchase,purpose_medical,purpose_moving,purpose_other,purpose_renewable_energy,purpose_small_business,purpose_vacation,purpose_wedding,gender
9000,16.95,10.0,237000.0,11.67,0.0,99.3,28.0,1,11.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
6000,8.94,6.0,60000.0,23.18,0.0,29.0,21.0,0,10.0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
10000,11.55,10.0,82000.0,12.41,1.0,84.9,17.0,0,17.0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
7000,15.99,10.0,144000.0,2.4000000000000004,0.0,91.3,15.0,1,19.0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
35000,22.47,10.0,175000.0,12.24,1.0,51.2,41.0,0,16.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
7200,6.03,2.0,42000.0,17.97,0.0,10.8,26.0,0,8.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
19250,14.99,1.0,70000.0,6.5,0.0,21.5,27.0,0,15.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
15250,14.17,1.0,38272.0,21.26,0.0,26.9,28.0,0,18.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
9000,18.85,6.0,40000.0,10.53,0.0,87.30000000000003,13.0,1,6.0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
35000,22.47,1.0,100000.0,16.8,0.0,60.0,27.0,1,11.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
7200,18.55,7.0,51000.0,22.24,0.0,53.3,35.0,0,12.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
8000,14.3,10.0,125000.0,5.41,0.0,91.3,9.0,0,10.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
6000,7.49,4.0,65000.0,18.85,0.0,47.6,41.0,0,14.0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
21000,12.35,10.0,78000.0,30.44,0.0,64.0,21.0,0,28.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2500,14.96,10.0,59000.0,9.66,1.0,86.60000000000002,23.0,0,16.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
19200,9.71,6.0,92500.0,24.97,0.0,70.8,31.0,0,13.0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
15000,8.9,10.0,106000.0,16.66,0.0,20.700000000000006,52.0,0,18.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
4000,12.29,10.0,52000.0,39.46,0.0,59.0,25.0,0,12.0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
5400,13.47,4.0,28584.0,18.18,0.0,66.3,7.0,0,8.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
24000,25.28,10.0,120000.0,25.54,0.0,89.10000000000002,33.0,1,17.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
5000,7.9,0.0,30000.0,28.6,0.0,7.5,8.0,0,8.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
17000,8.9,0.0,44200.0,30.59,1.0,10.6,29.0,0,42.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
12000,13.43,2.0,72000.0,18.83,0.0,55.7,18.0,0,18.0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
12000,16.29,5.0,45300.0,10.94,0.0,65.5,18.0,0,12.0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
10000,18.49,3.0,127000.0,6.7700000000000005,0.0,69.10000000000001,30.0,0,15.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
6200,10.99,0.0,46709.04,18.81,0.0,0.0,20.0,0,13.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
17550,18.99,10.0,42000.0,13.86,0.0,31.5,27.0,0,20.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
15350,6.17,10.0,75000.0,5.58,0.0,49.7,21.0,0,13.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
25000,14.09,2.0,65000.0,21.29,0.0,88.7,28.0,1,16.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
15000,12.99,10.0,42000.0,3.09,0.0,19.4,7.0,0,24.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
3500,13.99,0.0,110000.0,15.5,0.0,89.5,25.0,0,9.0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
27000,18.39,10.0,73992.0,10.28,0.0,62.8,23.0,1,9.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
3775,7.43,7.0,120000.0,0.0,0.0,0.0,22.0,0,11.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
