index,gender,num_of_prev_attempts,studied_credits,disability,A Level or Equivalent,HE Qualification,Lower Than A Level,No Formal quals,Post Graduate Qualification,0-10%,20-Oct,20-30%,30-40%,40-50%,50-60%,60-70%,70-80%,80-90%,90-100%,0-35,35-55,55<=,label
0,1,0,240,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
1,0,0,60,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
2,0,0,60,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
3,0,0,60,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
4,0,0,60,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
5,1,0,60,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
6,1,0,60,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1
7,0,0,120,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
8,0,0,90,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
10,1,0,60,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
11,0,0,60,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1
12,1,0,60,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1
13,0,0,60,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
14,1,0,60,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1
15,0,0,60,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
16,0,0,60,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1
18,1,0,150,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
19,1,0,60,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
20,1,0,60,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1
21,1,0,60,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
22,1,0,60,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
23,1,0,60,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
24,1,0,60,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1
25,1,0,60,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
26,1,0,60,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1
27,1,0,60,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
29,1,0,60,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
30,1,0,60,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1
31,1,0,60,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
32,0,0,60,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
33,1,0,60,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1
35,1,0,60,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1
36,1,0,60,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
37,1,0,60,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
38,1,0,120,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1
39,1,0,60,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1
40,0,0,180,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1
41,1,0,60,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
42,0,0,120,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
43,0,0,60,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
44,0,0,180,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
45,0,0,60,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
46,1,0,60,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1
47,0,0,240,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1
48,1,0,345,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
49,0,0,60,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
50,0,0,60,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
51,1,0,120,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
52,0,0,60,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
53,1,0,120,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
54,0,0,90,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
55,0,0,60,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
56,0,0,150,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
57,1,0,420,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1
58,0,0,60,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
59,0,0,60,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
60,0,0,60,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
61,1,0,60,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
62,1,0,60,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
63,0,0,60,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1
64,0,0,60,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
67,1,0,60,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
69,1,0,60,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
70,0,0,180,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
71,1,0,120,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1
72,0,0,120,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
73,0,0,60,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
74,1,0,180,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
75,1,0,170,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
76,1,0,120,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
77,1,0,60,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
78,1,0,60,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
79,1,0,120,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
80,1,0,120,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
81,0,0,60,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
82,1,0,60,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
83,1,0,60,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
84,0,0,60,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
85,1,0,60,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
86,1,0,90,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
87,0,0,60,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
89,1,0,60,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
90,1,0,60,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
91,1,0,60,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1
92,1,0,60,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
93,1,0,240,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1
94,1,0,240,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
95,1,0,60,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1
96,1,0,60,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
97,1,0,80,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
98,1,0,120,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
99,1,0,60,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
100,0,0,60,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
101,1,0,60,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
102,1,0,60,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
103,1,0,90,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1
104,1,0,60,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
105,1,0,120,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
106,0,0,60,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1
107,0,0,60,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
108,0,0,60,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
109,1,0,60,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
110,0,0,60,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
111,1,0,90,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
112,1,0,180,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
113,1,0,60,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
114,0,0,60,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
115,1,0,60,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1
116,0,0,150,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1
117,1,0,60,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
118,1,0,60,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
119,1,0,60,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
120,1,0,60,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
121,1,0,120,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
122,1,0,60,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1
123,1,0,60,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1
124,1,0,60,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
125,0,0,180,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
126,1,0,120,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
127,1,0,60,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
128,1,0,60,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
129,1,0,240,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
130,1,0,60,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1
131,0,0,60,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
132,1,0,60,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
133,0,0,60,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
134,1,0,60,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
135,1,0,120,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
136,0,0,120,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
137,1,0,120,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
138,1,0,60,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
139,0,0,60,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
140,0,0,60,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
141,1,0,60,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
142,1,0,120,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
143,1,0,60,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1
144,1,0,60,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
145,0,0,120,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
146,0,0,60,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
147,1,0,60,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
148,1,0,60,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1
149,0,0,60,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
150,1,0,120,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
151,0,0,60,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
152,0,0,60,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1
153,1,0,120,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1
154,1,0,60,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
155,0,0,150,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
156,0,0,240,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
157,0,0,60,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
158,1,0,120,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
159,1,0,60,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
160,1,0,180,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
161,0,0,60,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
162,1,0,60,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1
163,1,0,60,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
164,1,0,120,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
